Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_410545	hCoV-19/Italy/INMI1-isl/2020	Europe / Italy / Rome	2020-01-29	INMI Lazzaro Spallanzani IRCCS	"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"	"Maria R. Capobianchi, Cesare E. M. Gruber, Martina Rueca, Barbara Bartolini, Francesco Messina, Emanuela Giombini, Francesca Colavita, Concetta Castilletti, Eleonora Lalle, Fabrizio Carletti, Emanuele Nicastri, Giuseppe Ippolito."
EPI_ISL_410537	hCoV-19/Singapore/6/2020	Asia / Singapore	2020-02-09	"Singapore General Hospital, Molecular Laboratory, Division of Pathology"	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, Kian Sing Chan, Lynette LE Oon, Shirin Kalimuddin, Jenny GH Low, Yvonne CF Su, Gavin JD Smith"
EPI_ISL_410536	hCoV-19/Singapore/5/2020	Asia / Singapore	2020-02-06	"Singapore General Hospital, Molecular Laboratory, Division of Pathology"	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, Kian Sing Chan, Lynette LE Oon, Shirin Kalimuddin, Jenny GH Low, Yvonne CF Su, Gavin JD Smith"
EPI_ISL_410535	hCoV-19/Singapore/4/2020	Asia / Singapore	2020-02-03	National Centre for Infectious Diseases	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, David CB Lye, Yee Sin Leo, Barnaby E Young, Yvonne CF Su, Gavin JD Smith"
EPI_ISL_404228	hCoV-19/Zhejiang/WZ-02/2020	Asia / China / Zhejiang	2020-01-17	Zhejiang Provincial Center for Disease Control and Prevention	"Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention"	"Yanjun Zhang, Yin Chen, Haiyan Mao, Junhang Pan, Xiuyu Lou, Yiyu Lu, Juying Yan, Hanping Zhu, Jian Gao, Yan Feng, Yi Sun, Hao Yan, Zhen Li, Yisheng Sun, Liming Gong, Qiong Ge, Wen Shi, Xinying Wang, Wenwu Yao, Zhangnv Yang, Fang Xu, Chen Chen, Enfu Chen, Zhen Wang, Zhiping Chen, Jianmin Jiang, Chonggao Hu"
EPI_ISL_404227	hCoV-19/Zhejiang/WZ-01/2020	Asia / China / Zhejiang	2020-01-16	Zhejiang Provincial Center for Disease Control and Prevention	"Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention"	"Yin Chen, Yanjun Zhang, Haiyan Mao, Junhang Pan, Xiuyu Lou, Yiyu Lu, Juying Yan, Hanping Zhu, Jian Gao, Yan Feng, Yi Sun, Hao Yan, Zhen Li, Yisheng Sun, Liming Gong, Qiong Ge, Wen Shi, Xinying Wang, Wenwu Yao, Zhangnv Yang, Fang Xu, Chen Chen, Enfu Chen, Zhen Wang, Zhiping Chen, Jianmin Jiang, Chonggao Hu"
EPI_ISL_404253	hCoV-19/USA/IL1/2020	North America / USA / Illinois / Chicago	2020-01-21	IL Department of Public Health Chicago Laboratory	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"	"Ying Tao, Krista Queen, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_407313	hCoV-19/Hangzhou/HZCDC0001/2020	Asia / China / Zhejiang / Hangzhou	2020-01-19	Hangzhou Center for Disease Control and Prevention	Hangzhou Center for Disease Control and Prevention	"Jun Li, Haoqiu Wang, Hua Yu, Lingfeng Mao, Xinfen Yu, Zhou Sun, Qingxin Kong, Xin Qian, Shuchang Chen, Xuchu Wang"
EPI_ISL_413581	hCoV-19/Netherlands/Oss_1363500/2020	Europe / Netherlands / Oss	2020-02-29	RIVM	Erasmus Medical Center	"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
EPI_ISL_413584	hCoV-19/Netherlands/Rotterdam_1364740/2020	Europe / Netherlands / Rotterdam	2020-03-03	unknown	Erasmus Medical Center	"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
EPI_ISL_413586	hCoV-19/Netherlands/Tilburg_1363354/2020	Europe / Netherlands / Tilburg	2020-02-27	Foundation Elisabeth-Tweesteden Ziekenhuis	Erasmus Medical Center	"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
EPI_ISL_413572	hCoV-19/Netherlands/Haarlem_1363688/2020	Europe / Netherlands / Haarlem	2020-03-01	MHC Kennemerland	Erasmus Medical Center	"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
EPI_ISL_413577	hCoV-19/Netherlands/Naarden_1364774/2020	Europe / Netherlands / Naarden	2020-03-02	MHC Gooi & Vechtstreek	Erasmus Medical Center	"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
EPI_ISL_406800	hCoV-19/Wuhan/WH03/2020	Asia / China / Hubei / Wuhan	2020-01-01	General Hospital of Central Theater Command of People's Liberation Army of China	"BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China"	"Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu"
EPI_ISL_406801	hCoV-19/Wuhan/WH04/2020	Asia / China / Hubei / Wuhan	2020-01-05	General Hospital of Central Theater Command of People's Liberation Army of China	"BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China"	"Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu"
EPI_ISL_413592	hCoV-19/Taiwan/NTU03/2020	Asia / Taiwan / Taipei	2020-03-02	"Department of Laboratory Medicine, National Taiwan University Hospital"	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"	"Shiou-Hwei Yeh, You-Yu Lin, Ya-Yun Lai, Chiao-Ling Li, Shan-Chwen Chang, Pei-Jer Chen, Sui-Yuan Chang"
EPI_ISL_413593	hCoV-19/Luxembourg/Lux1/2020	Europe / Luxembourg	2020-02-29	Laboratoire National de Sant	Erasmus Medical Center	"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, T. Abdelrahman, G. Fournier, J. Mossong, T. Nguyen, Jeroen van Kampen, Jolanda Voermans, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
EPI_ISL_413594	hCoV-19/Australia/NSW08/2020	Oceania / Australia / NSW / Sydney	2020-02-28	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Rockett R, Eden J-S, Lam C, Gray K, Timms, V, Gall, M, Alicia, A, Carter I, Rahman H, Holmes EC, , OSullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_413597	hCoV-19/Australia/NSW11/2020	Oceania / Australia / NSW / Sydney	2020-03-02	Centre for Infectious Diseases and Microbiology- Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Lam C, Eden J-S, Rockett R, Gray K, Timms, V, Gall, M, Carter I, Rahman H, Holmes EC, OSullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_413599	hCoV-19/Australia/NSW13/2020	Oceania / Australia / NSW / Sydney	2020-03-04	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Timms, V, Eden J-S, Lam C, Gray K, Rockett R, Gall, M, Carter I, Rahman H, Holmes EC, OSullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_406844	hCoV-19/Australia/VIC01/2020	Oceania / Australia / Victoria / Clayton	2020-01-25	Monash Medical Centre	"Collaboration between the University of Melbourne at The Peter Doherty Institute for Infection and Immunity, and the Victorian Infectious Disease Reference Laboratory"	"Caly,L., Seemann,T., Schultz,M., Druce,J. and Taiaroa,G"
EPI_ISL_414495	hCoV-19/Spain/Valencia1/2020	Europe / Spain / Comunitat Valenciana / Valencia	2020-03-08	Servicio Microbiologa. Hospital Clnico Universitario. Valencia.	Sequencing and Bioinformatics Service. Molecular Epidemiology Laboratory. FISABIO-Public Health	"David Navarro, Maria Alma Bracho, Giuseppe D'Auria, Griselda De Marco, Neris Garcia-Gonzalez, Fernando Gonzalez-Candelas"
EPI_ISL_414496	hCoV-19/Spain/Valencia2/2020	Europe / Spain / Comunitat Valenciana / Valencia	2020-03-04	Servicio Microbiologia. Hospital Clinico Universitario. Valencia.	Sequencing and Bioinformatics Service. Molecular Epidemiology Laboratory. FISABIO-Public Health	"David Navarro, Mara Alma Bracho, Giuseppe D'Auria, Griselda De Marco, Neris Garcia-Gonzalez, Fernando Gonzalez-Candelas"
EPI_ISL_406862	hCoV-19/Germany/BavPat1/2020	Europe / Germany / Bavaria / Munich	2020-01-28	"Charit Universittsmedizin Berlin, Institute of Virology; Institut fr Mikrobiologie der Bundeswehr, Munich"	"Charit Universittsmedizin Berlin, Institute of Virology"	"Victor M Corman, Julia Schneider, Talitha Veith, Barbara Mhlemann, Markus Antwerpen, Christian Drosten, Roman Wlfel"
EPI_ISL_413520	hCoV-19/Beijing/233/2020	Asia / China / Beijing	2020-01-28	unknown	Infectious Disease Control Center	"Li,J., Li,L., Li,Z., Qiu,S., Song,H., Li,P. and Li,P."
EPI_ISL_413521	hCoV-19/Beijing/235/2020	Asia / China / Beijing	2020-01-28	unknown	Infectious Disease Control Center	"Li,J., Li,L., Li,Z., Qiu,S., Song,H., Li,P. and Li,P."
EPI_ISL_413522	hCoV-19/India/1-27/2020	Asia / India / Kerala	2020-01-27	Indian Council of Medical Research - National Institute of Virology	"National Influenza Center, Indian Council of Medical Research - National Institute of Virology"	"Potdar V, Yadav PD, Choudhary ML, Shete-Aich A"
EPI_ISL_413523	hCoV-19/India/1-31/2020	Asia / India / Kerala	2020-01-31	Indian Council of Medical Research-National Institute of Virology	"National Influenza Center, Indian Council of Medical Research-National Institute of Virology"	"Potdar V, Yadav PD, Choudhary ML, Shete-Aich A"
EPI_ISL_413519	hCoV-19/Beijing/231/2020	Asia / China / Beijing	2020-01-28	unknown	Infectious Disease Control Center	"Li,J., Li,L., Li,Z., Qiu,S., Song,H., Li,P. and Li,P."
EPI_ISL_410486	hCoV-19/France/RA739/2020	Europe / France / Rhone-Alpes / Contamines	2020-02-08	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	"Bal, Antonin; Destras, Gregory; Gaymard, Alexandre; Bouscambert-Duchamp, Maude; Cheynet, Valrie; Brengel-Pesce, Karen; Morfin-Sherpa, Florence; Valette, Martine; Josset, Laurence; Lina, Bruno."
EPI_ISL_413561	hCoV-19/USA/CA-CDPH-UC4/2020	North America / USA / California / Solano County	2020-02-27	California Department of Public Health	"Chiu Laboratory, UCSF-Abbott Viral Diagnostics and Discovery Center, University of California, San Francisco"	"Xianding Deng, Scot Federman, Guixia Yu, Chao-Yang Pan, Hugo Guevara, Alicia Sotomayor-Gonzalez, Allan Gopez, Wei Gu, Steve Miller, Debra A. Wadford, and Charles Y. Chiu"
EPI_ISL_413565	hCoV-19/Netherlands/Berlicum_1363564/2020	Europe / Netherlands / Berlicum	2020-02-24	Foundation Pamm	Erasmus Medical Center	"David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team."
EPI_ISL_409067	hCoV-19/USA/MA1/2020	North America / USA / Massachusetts	2020-01-29	Massachusetts Department of Public Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Clinton R. Paden, Jing Zhang, Krista Queen, Yan Li, Ying Tao, Anna Uehara, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_413550	hCoV-19/Nigeria/Lagos01/2020	Africa / Nigeria / Lagos	2020-02-27	"Centre for Human and Zoonotic Virology (CHAZVY), College of Medicine University of Lagos/Lagos University Teaching Hospital (LUTH), part of the Laboratory Network of the Nigeria Centre for Disease Control (NCDC)"	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"	"Oluniyi P.E., Ajogbasile F.V., Kayode A., Oguzie J., Folarin O.A., Ihekweazu C. Happi C.T."
EPI_ISL_413555	hCoV-19/Wales/PHW1/2020	Europe / United Kingdom / Wales	2020-02-27	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	"Catherine Moore, Cen Sabu, Joanne Watkins, Sally Corden, Tom Connor"
EPI_ISL_413556	hCoV-19/Wales/PHW2/2020	Europe / United Kingdom / Wales	2020-03-04	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	"Catherine Moore, Tim Jones, Joanne Watkins, Sally Corden, Tom Connor"
EPI_ISL_413557	hCoV-19/USA/CA-CDPH-UC1/2020	North America / USA / California / Sonoma County	1905-07-12	California Department of Public Health 	"Chiu Laboratory, UCSF-Abbott Viral Diagnostics and Discovery Center, University of California, San Francisco "	"Xianding Deng, Scot Federman, Guixia Yu, Chao-Yang Pan, Hugo Guevara, Alicia Sotomayor-Gonzalez, Allan Gopez, Elaine Hsu, Wei Gu, Steve Miller, Debra A. Wadford, and Charles Y. Chiu"
EPI_ISL_410045	hCoV-19/USA/IL2/2020	North America / USA / Illinois	2020-01-28	IL Department of Public Health Chicago Laboratory 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Yan Li, Jing Zhang, Krista Queen, Ying Tao, Anna Uehara, Clinton R. Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_410044	hCoV-19/USA/CA6/2020	North America / USA / California	2020-01-27	California Department of Public Health 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Jing Zhang, Krista Queen, Yan Li, Ying Tao, Anna Uehara, Clinton R. Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_411952	hCoV-19/Jiangsu/JS02/2020	Asia / China / Jiangsu	2020-01-24	"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology"	Jiangsu Provincial Center for Disease Control & Prevention	"Kangchen Zhao, Xiaojuan Zhu, Lunbiao Cui, Tao Wu, Yiyue Ge, Bin Wu, Yin Chen, Fengcai Zhu, Baoli Zhu, Ming Wu"
EPI_ISL_411953	hCoV-19/Jiangsu/JS03/2020	Asia / China / Jiangsu	2020-01-24	"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology"	Jiangsu Provincial Center for Disease Control & Prevention	"Kangchen Zhao, Xiaojuan Zhu, Lunbiao Cui, Tao Wu, Yiyue Ge, Bin Wu, Yin Chen, Fengcai Zhu, Baoli Zhu, Ming Wu"
EPI_ISL_411954	hCoV-19/USA/CA7/2020	North America / USA / California	2020-02-06	California Department of Public Health 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Ying Tao, Clinton R. Paden, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_411955	hCoV-19/USA/CA8/2020	North America / USA / California	2020-02-10	California Department of Public Health 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Ying Tao, Clinton R. Paden, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_411956	hCoV-19/USA/TX1/2020	North America / USA / Texas	2020-02-11	Texas Department of State Health Services	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Ying Tao, Clinton R. Paden, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_411950	hCoV-19/Jiangsu/JS01/2020	Asia / China / Jiangsu	2020-01-23	"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology"	Jiangsu Provincial Center for Disease Control & Prevention	"Lunbiao Cui,Kangchen Zhao,Xiaojuan Zhu,Yiyue Ge,Tao Wu,Bin Wu,Yin Chen,Fengcai Zhu,Baoli Zhu,Ming Wu"
EPI_ISL_411951	hCoV-19/Sweden/01/2020	Europe / Sweden	2020-02-07	unknown	"Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden"	"Bengner,M., Palmerus,M., Lindsjo,O., Lind Karlberg,M., Monteil,V., Appelberg,S., Brave,A., Muradrasoli,S. and Tegmark-Wisell,K."
EPI_ISL_412870	hCoV-19/South Korea/KCDC06/2020	Asia / South Korea/ Seoul	2020-01-30	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention "	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention "	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han "
EPI_ISL_412871	hCoV-19/South Korea/KCDC07/2020	Asia / South Korea / Seoul	2020-01-31	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han "
EPI_ISL_412872	hCoV-19/South Korea/KCDC12/2020	Asia / South Korea / Gyeonggi-do	2020-02-01	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han"
EPI_ISL_412873	hCoV-19/South Korea/KCDC24/2020	Asia / South Korea / Chungcheongnam-do	2020-02-06	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention "	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention "	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han"
EPI_ISL_412869	hCoV-19/South Korea/KCDC05/2020	Asia / South Korea /Seoul	2020-01-30	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han "
